Sandık No,Seçim Çevresi,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Sandıktan Çıkan Oy Pusulası Sayısı,122. Maddeye Göre Yakılarak İptal Edilen Oy Pusulası Sayısı,Kullanılma-dığından İptal Edilerek Saklanan Oy Pusulası Sayısı,Geçerli Oy Pusulası Sayısı,Geçersiz Oy Pusulası Sayısı,Ersin Tatar,Tufan Erhürman,YDP,MDP,Arif Salih,Ahmet Boran,Mustafa Ulaş,Alpan Uz,Kudret Özersay,Mustafa Akıncı,Serdar Denktaş,Region
190,LEFKOŞA - ORTAKÖY MAH,294,186,186,0,108,181,5,41,53,7,0,0,0,0,0,13,63,4,Lefkoşa
191,LEFKOŞA - ORTAKÖY MAH,304,171,171,0,133,163,8,36,46,3,1,2,0,0,1,7,63,4,Lefkoşa
192,LEFKOŞA - ORTAKÖY MAH,296,178,178,0,118,175,3,41,38,3,1,0,0,1,0,3,80,8,Lefkoşa
193,LEFKOŞA - ORTAKÖY MAH,287,145,145,0,142,139,6,47,22,6,0,0,1,0,0,4,55,4,Lefkoşa
194,LEFKOŞA - ORTAKÖY MAH,296,179,179,0,117,179,0,33,43,8,0,0,0,0,0,8,80,7,Lefkoşa
195,LEFKOŞA - ORTAKÖY MAH,287,164,164,0,123,163,1,35,37,0,0,0,0,0,0,4,84,3,Lefkoşa
196,LEFKOŞA - SELİMİYE MAH,223,104,104,0,119,103,1,40,20,7,0,1,0,0,0,6,24,5,Lefkoşa
197,LEFKOŞA - SELİMİYE MAH,222,111,111,0,111,108,3,52,15,10,0,0,0,0,0,9,16,6,Lefkoşa
198,LEFKOŞA - TAŞKINKÖY MAH,284,195,195,0,89,190,5,50,32,5,1,0,0,0,0,9,87,6,Lefkoşa
199,LEFKOŞA - TAŞKINKÖY MAH,279,201,201,0,78,195,6,44,34,1,0,0,0,0,0,3,99,14,Lefkoşa
200,LEFKOŞA - TAŞKINKÖY MAH,293,205,205,0,88,205,0,37,47,0,0,0,0,0,2,7,106,6,Lefkoşa
201,LEFKOŞA - TAŞKINKÖY MAH,284,174,174,0,110,163,11,36,41,1,0,0,0,0,0,7,73,5,Lefkoşa
202,LEFKOŞA - TAŞKINKÖY MAH,292,189,189,0,103,174,15,34,33,4,0,0,0,0,0,10,91,2,Lefkoşa
203,LEFKOŞA - TAŞKINKÖY MAH,299,205,205,0,94,203,2,41,43,0,0,0,0,0,0,5,104,10,Lefkoşa
204,LEFKOŞA - TAŞKINKÖY MAH,293,188,188,0,105,182,6,23,42,3,0,0,0,0,0,20,91,3,Lefkoşa
205,LEFKOŞA - TAŞKINKÖY MAH,282,197,197,0,85,193,4,43,39,3,1,0,0,0,0,9,90,8,Lefkoşa
206,LEFKOŞA - TAŞKINKÖY MAH,280,176,176,0,104,174,2,22,35,2,1,0,0,0,0,10,92,12,Lefkoşa
207,LEFKOŞA - TAŞKINKÖY MAH,280,192,192,0,88,187,5,48,33,0,0,0,0,0,1,10,89,6,Lefkoşa
208,LEFKOŞA - TAŞKINKÖY MAH,283,192,192,0,91,188,4,37,39,2,0,0,0,0,0,18,87,5,Lefkoşa
209,LEFKOŞA - TAŞKINKÖY MAH,277,191,191,0,86,183,8,35,56,1,0,0,1,0,0,12,75,3,Lefkoşa
210,LEFKOŞA - YENİCAMİ MAH,311,166,166,0,145,152,14,78,18,8,1,0,0,0,1,12,33,1,Lefkoşa
211,LEFKOŞA - YENİCAMİ MAH,300,159,159,0,141,143,16,62,20,12,0,0,0,0,2,10,34,3,Lefkoşa
212,LEFKOŞA - YENİCAMİ MAH,300,136,136,0,164,134,2,65,9,8,1,0,0,0,0,11,38,2,Lefkoşa
213,LEFKOŞA - YENİŞEHİR MAH,247,152,152,0,95,150,2,27,23,4,0,0,1,0,0,16,74,5,Lefkoşa
214,LEFKOŞA - YENİŞEHİR MAH,247,138,138,0,109,129,9,33,18,3,0,0,0,0,0,4,63,8,Lefkoşa
215,LEFKOŞA - YENİŞEHİR MAH,299,147,147,0,152,141,6,53,26,1,0,0,0,0,0,7,51,3,Lefkoşa
216,LEFKOŞA - YENİŞEHİR MAH,304,170,170,0,134,165,5,41,27,4,1,0,0,0,0,9,75,8,Lefkoşa
217,LEFKOŞA - YENİŞEHİR MAH,305,160,160,0,145,154,6,30,47,3,1,0,0,0,0,4,62,7,Lefkoşa
218,LEFKOŞA - YENİŞEHİR MAH,305,145,145,0,160,141,4,29,27,4,1,1,0,0,0,6,69,4,Lefkoşa
219,LEFKOŞA - YENİŞEHİR MAH,288,145,145,0,143,144,1,37,26,4,0,1,0,0,0,6,65,5,Lefkoşa
220,LEFKOŞA - YENİŞEHİR MAH,301,149,149,0,152,149,0,33,25,1,0,1,0,0,0,13,71,5,Lefkoşa
221,LEFKOŞA - YENİŞEHİR MAH,287,156,156,0,131,147,9,37,18,0,0,1,0,0,0,12,73,6,Lefkoşa
222,LEFKOŞA - YENİŞEHİR MAH,293,153,153,0,140,152,1,40,23,3,1,0,0,0,0,14,65,6,Lefkoşa
223,LEFKOŞA - YENİŞEHİR MAH,249,140,140,0,109,136,4,40,23,2,0,1,0,0,0,8,56,6,Lefkoşa
1,BÜYÜKKONUK - BÜYÜKKONUK,263,148,148,0,115,143,5,78,10,32,0,0,0,0,0,3,13,7,Iskele
2,BÜYÜKKONUK - BÜYÜKKONUK,263,158,158,0,105,153,5,84,9,19,0,0,1,0,0,11,27,2,Iskele
3,BÜYÜKKONUK - BÜYÜKKONUK,266,132,132,0,134,127,5,46,25,8,1,0,0,1,0,6,39,1,Iskele
4,BÜYÜKKONUK - KAPLICA,391,261,261,0,130,251,10,106,17,47,1,0,0,1,1,53,12,13,Iskele
5,BÜYÜKKONUK - KİLİTKAYA,150,115,115,0,35,111,4,50,37,0,0,1,0,0,0,3,19,1,Iskele
6,BÜYÜKKONUK - MERSİNLİK,169,102,102,0,67,97,5,42,2,39,0,0,2,0,0,11,1,0,Iskele
7,BÜYÜKKONUK - SAZLIKÖY,68,42,42,0,26,41,1,9,12,0,0,1,0,0,0,2,17,0,Iskele
8,BÜYÜKKONUK - TUZLUCA,337,189,189,0,148,180,9,81,27,56,1,0,0,0,0,2,10,3,Iskele
9,BÜYÜKKONUK - YEDİKONUK,274,156,156,0,118,150,6,81,19,27,1,0,0,1,1,5,8,7,Iskele
10,BÜYÜKKONUK - YEDİKONUK,277,148,148,0,129,144,4,58,21,38,0,1,0,0,0,8,3,15,Iskele
11,BÜYÜKKONUK - YEDİKONUK,269,171,171,0,98,158,13,58,32,26,2,0,0,0,1,5,8,26,Iskele
12,BÜYÜKKONUK - ZEYBEKKÖY,32,22,22,0,10,20,2,12,5,0,0,0,0,1,0,0,2,0,Iskele
13,DİPKARPAZ - ERSİN PAŞA MAH,211,88,88,0,123,78,10,51,9,9,0,0,0,0,0,6,0,3,Iskele
14,DİPKARPAZ - ERSİN PAŞA MAH,211,100,100,0,111,97,3,53,7,18,0,0,0,0,0,7,6,6,Iskele
15,DİPKARPAZ - ERSİN PAŞA MAH,209,105,105,0,104,82,23,46,0,20,0,0,0,0,0,3,3,10,Iskele
16,DİPKARPAZ - KALEBURNU,359,164,164,0,195,159,5,61,24,15,0,1,0,0,0,34,20,4,Iskele
17,DİPKARPAZ - POLAT PAŞA MAH,226,125,125,0,101,122,3,59,30,8,0,1,0,0,0,6,8,10,Iskele
18,DİPKARPAZ - POLAT PAŞA MAH,228,111,111,0,117,105,6,47,21,9,0,0,1,0,1,4,16,6,Iskele
19,DİPKARPAZ - POLAT PAŞA MAH,219,112,112,0,107,111,1,51,17,9,0,0,0,0,0,9,10,15,Iskele
20,DİPKARPAZ - SANCAR PAŞA MAH,205,117,117,0,88,115,2,45,22,18,0,0,0,0,0,7,18,5,Iskele
21,DİPKARPAZ - SANCAR PAŞA MAH,204,117,117,0,87,113,4,65,20,7,0,0,0,0,0,5,8,8,Iskele
22,DİPKARPAZ - SANCAR PAŞA MAH,206,114,114,0,92,101,13,44,14,3,0,0,0,0,0,15,16,9,Iskele
23,İSKELE - AĞILLAR,143,111,111,0,32,107,4,60,22,6,0,0,0,0,0,8,9,2,Iskele
24,İSKELE - ALTINOVA,199,144,144,0,55,140,4,63,41,0,0,2,0,0,0,1,33,0,Iskele
25,İSKELE - ARDAHAN,337,185,185,0,152,171,14,107,20,27,0,1,0,0,0,6,10,0,Iskele
26,İSKELE - AYGÜN,381,244,244,0,137,217,27,111,49,8,1,0,1,0,0,12,32,3,Iskele
27,İSKELE - BOĞAZ MAH,199,111,111,0,88,106,5,32,33,4,0,0,0,0,0,6,29,2,Iskele
28,İSKELE - BOĞAZİÇİ,249,129,129,0,120,121,8,42,51,3,0,0,0,0,0,3,22,0,Iskele
29,İSKELE - BOĞAZİÇİ,244,159,159,0,85,150,9,79,44,6,0,0,0,0,1,0,19,1,Iskele
30,İSKELE - BOĞAZTEPE MAH,369,204,204,0,165,199,5,50,71,2,1,1,0,0,0,9,62,3,Iskele
31,İSKELE - CEVİZLİ MAH,275,152,152,0,123,146,6,38,30,4,1,0,0,0,0,1,71,1,Iskele
32,İSKELE - CEVİZLİ MAH,274,135,135,0,139,134,1,46,17,5,0,0,0,0,1,9,54,2,Iskele
33,İSKELE - CEVİZLİ MAH,272,140,140,0,132,134,6,50,35,2,0,0,0,0,1,2,36,8,Iskele
34,İSKELE - ERGAZİ,229,144,144,0,85,133,11,60,36,0,0,0,0,1,0,5,30,1,Iskele
35,İSKELE - İSKELE MERKEZ MAH,274,129,129,0,145,121,8,38,19,10,0,0,0,0,0,7,44,3,Iskele
36,İSKELE - İSKELE MERKEZ MAH,274,161,161,0,113,152,9,58,29,19,0,0,0,0,0,7,39,0,Iskele
37,İSKELE - İSKELE MERKEZ MAH,272,148,148,0,124,127,21,32,29,16,0,0,0,0,0,2,48,0,Iskele
38,İSKELE - İSKELE MERKEZ MAH,273,154,154,0,119,125,29,42,23,3,1,1,0,0,0,3,51,1,Iskele
39,İSKELE - İSKELE MERKEZ MAH,273,136,136,0,137,132,4,29,30,19,0,0,1,0,0,3,45,5,Iskele
40,İSKELE - İSKELE MERKEZ MAH,272,128,128,0,144,112,16,32,19,16,0,0,0,0,0,5,38,2,Iskele
41,İSKELE - İSKELE MERKEZ MAH,273,169,169,0,104,154,15,41,34,15,0,1,1,0,0,6,55,1,Iskele
42,İSKELE - KALECİK MAH,299,177,177,0,122,171,6,92,20,21,0,0,0,0,0,20,2,16,Iskele
43,İSKELE - KURTULUŞ,76,44,44,0,32,33,11,14,8,0,0,0,0,0,0,0,11,0,Iskele
44,İSKELE - KUZUCUK,317,212,212,0,105,194,18,78,20,10,2,0,0,0,0,6,72,6,Iskele
45,İSKELE - ÖTÜKEN,232,116,116,0,116,115,1,37,20,6,0,0,0,0,0,6,45,1,Iskele
46,İSKELE - ÖTÜKEN,233,140,140,0,93,138,2,28,28,5,0,0,0,0,0,3,70,4,Iskele
47,İSKELE - SINIRÜSTÜ,152,86,86,0,66,82,4,30,27,2,0,0,0,0,0,4,13,6,Iskele
48,İSKELE - TOPCUKÖY,314,224,224,0,90,193,31,61,41,1,0,0,0,0,0,6,83,1,Iskele
49,İSKELE - TURNALAR,123,88,88,0,35,85,3,34,28,12,0,0,0,0,0,3,5,3,Iskele
50,İSKELE - YARKÖY,405,233,233,0,172,222,11,125,27,40,0,0,0,0,0,10,17,3,Iskele
51,MEHMETCİK - BAFRA,396,234,234,0,162,223,11,123,33,13,0,0,0,0,2,18,17,17,Iskele
52,MEHMETCİK - BALALAN,48,39,39,0,9,39,0,17,15,0,0,0,0,0,0,1,3,3,Iskele
53,MEHMETCİK - ÇAYIROVA,381,235,235,0,146,225,10,79,61,7,3,3,0,0,0,21,29,22,Iskele
54,MEHMETCİK - KUMYALI,319,186,186,0,133,176,10,76,26,19,1,0,1,0,0,33,18,2,Iskele
55,MEHMETCİK - KUMYALI,318,163,163,0,155,159,4,68,17,15,0,0,0,0,0,15,34,10,Iskele
56,MEHMETCİK - MEHMETCİK,311,186,186,0,125,176,10,64,58,0,0,0,0,0,1,16,30,7,Iskele
57,MEHMETCİK - MEHMETCİK,307,188,188,0,119,171,17,73,42,2,0,1,0,0,1,9,42,1,Iskele
58,MEHMETCİK - MEHMETCİK,311,147,147,0,164,138,9,58,24,1,1,0,0,0,0,11,41,2,Iskele
59,MEHMETCİK - MEHMETCİK,314,170,170,0,144,159,11,65,35,4,0,0,0,0,0,8,38,9,Iskele
60,MEHMETCİK - PAMUKLU,248,172,172,0,76,153,19,66,25,26,0,0,0,0,0,30,5,1,Iskele
61,YENİ ERENKÖY - ADAÇAY,69,33,33,0,36,32,1,24,0,2,0,0,0,0,0,4,0,2,Iskele
62,YENİ ERENKÖY - AVTEPE,98,65,65,0,33,59,6,21,10,0,0,0,0,0,0,1,10,17,Iskele
63,YENİ ERENKÖY - BOLTAŞLI,214,109,109,0,105,102,7,48,18,24,1,0,0,0,0,2,7,2,Iskele
64,YENİ ERENKÖY - DERİNCE,275,125,125,0,150,116,9,68,4,18,0,1,0,0,1,8,12,4,Iskele
65,YENİ ERENKÖY - DERİNCE,250,114,114,0,136,108,6,55,16,25,0,0,0,0,0,4,3,5,Iskele
66,YENİ ERENKÖY - ESENKÖY,52,29,29,0,23,29,0,12,5,3,0,0,0,0,0,4,0,5,Iskele
67,YENİ ERENKÖY - GELİNCİK,259,141,141,0,118,132,9,34,14,67,1,0,1,0,0,11,1,3,Iskele
68,YENİ ERENKÖY - GELİNCİK,239,145,145,0,94,133,12,55,27,40,1,0,0,0,0,3,5,2,Iskele
69,YENİ ERENKÖY - KURUOVA,142,59,59,0,83,48,11,28,3,1,0,0,0,0,0,1,11,4,Iskele
70,YENİ ERENKÖY - SİPAHİ,241,136,136,0,105,130,6,68,1,38,2,0,0,0,0,4,1,16,Iskele
71,YENİ ERENKÖY - SİPAHİ,239,128,128,0,111,122,6,58,8,42,0,0,1,0,0,5,3,5,Iskele
72,YENİ ERENKÖY - TAŞLICA,73,44,44,0,29,44,0,23,9,4,1,0,0,1,0,2,2,2,Iskele
73,YENİ ERENKÖY - YENİ ERENKÖY,275,161,161,0,114,149,12,83,31,0,0,0,0,0,0,13,11,11,Iskele
74,YENİ ERENKÖY - YENİ ERENKÖY,282,160,160,0,122,157,3,55,39,0,0,0,0,0,0,17,27,19,Iskele
75,YENİ ERENKÖY - YENİ ERENKÖY,285,181,181,0,104,168,13,80,24,1,0,2,0,0,0,18,21,22,Iskele
76,YENİ ERENKÖY - YENİ ERENKÖY,284,188,188,0,96,178,10,93,38,0,0,1,0,0,0,14,17,15,Iskele
77,YENİ ERENKÖY - YENİ ERENKÖY,266,165,165,0,101,155,10,52,41,6,0,0,0,0,0,8,26,22,Iskele
78,YENİ ERENKÖY - YEŞİLKÖY,276,138,138,0,138,135,3,72,14,17,1,0,0,0,0,6,17,8,Iskele
79,YENİ ERENKÖY - YEŞİLKÖY,282,154,154,0,128,147,7,62,24,46,0,0,0,0,0,4,5,6,Iskele
80,YENİ ERENKÖY - YEŞİLKÖY,265,134,134,0,131,130,4,60,24,16,2,0,0,0,0,3,18,7,Iskele
81,YENİ ERENKÖY - ZİYAMET,237,154,154,0,83,143,11,94,10,21,0,0,0,0,0,9,5,4,Iskele
82,YENİ ERENKÖY - ZİYAMET,241,145,145,0,96,130,15,52,7,16,0,0,0,2,1,16,6,30,Iskele
83,YENİ ERENKÖY - ZİYAMET,238,143,143,0,95,132,11,69,12,30,0,0,0,0,0,11,8,2,Iskele
